hash,name,signature,note
00403DF0,GOIsBlood,int GO_IsBlood(int blood),Toggles blood effects for the current profile. Param: blood = 1 on; 0 off. Use in config scripts. Returns 1.
00403E60,GOSoundSpeech,int GO_SoundSpeech(float volume),Sets speech volume for the current profile. Param: volume = float 0.0-1.0. Use in config scripts. Returns 1.
00403EF0,GOSoundMusic,int GO_SoundMusic(float volume),Sets music volume for the current profile. Param: volume = float 0.0-1.0. Use in config scripts. Returns 1.
00403F80,GOSoundFX,int GO_SoundFX(float volume),Sets sound-effects volume for the current profile. Param: volume = float 0.0-1.0. Use in config scripts. Returns 1.
004040F0,GOGfxPerformance,int GO_GfxPerformance(int flags),Sets graphics performance/detail flags for the current profile. Param: flags = bitmask from the detail-level mapping (see Config_GraphicOptionsGetPerfFlagsFromLevel). Use in config scripts. Returns 1.
00403750,GOActiveMission,int GO_ActiveMission(int mission),Sets the active (last-played) mission number for the current player profile. Param: mission = mission index 1..14. Use in profile/config scripts after GO_Player. Returns 1.
00403C10,GO_ContentControlPW,int GO_ContentControlPW(char* password),Config-writer form (argc=1): sets the content-control password while a config file is parsed. Param: password = string. Returns 1.
00404FA0,Config_FillPlayerProfileListBox,void Config_FillPlayerProfileListBox(),Fills the current menu list box with all player profiles (name per row; row index = profile index). Use inside the profile-selection list box collect-items script.
00405010,Config_GetActivePlayerProfileIndex,int Config_GetActivePlayerProfileIndex(),RETURNS the index of the currently-active player profile (0-based). Takes no arguments. Use whenever you need which profile is selected; e.g. before Config_DeletePlayerProfile.
00405050,Config_SetActivePlayerProfileIndex,void Config_SetActivePlayerProfileIndex(int index),Makes 'index' the active player profile. Param: index = 0-based profile index (must exist; see Config_GetNumberOfPlayerProfiles).
004050A0,Config_CreateNewPlayerProfile,int Config_CreateNewPlayerProfile(char* name, int sourceIndex),Creates a new player profile. Params: name = new profile name (string); sourceIndex = existing profile index to copy initial settings from. RETURNS 1 on success; 0 on failure (e.g. name taken/slots fu
00405400,Config_DeletePlayerProfile,int Config_DeletePlayerProfile(int index),Deletes a player profile. Param: index = 0-based profile index to delete. RETURNS 1 on success; 0 on failure. Do not delete the last remaining profile; refresh your list box afterwards.
004057D0,Config_PlayerGetActiveMission,int Config_PlayerGetActiveMission(int profileIndex),Returns the active (reached) mission number of ANY profile. Param: profileIndex = 0-based profile index. Use on the profile/mission screens to show progress without switching profiles.
004054F0,Config_GetNumberOfPlayerProfiles,int Config_GetNumberOfPlayerProfiles(),RETURNS how many player profiles exist. Use to bounds-check indexes and to size profile lists.
00405660,Config_FillMissionSelectionBox,void Config_FillMissionSelectionBox(),Fills the current menu list box with missions selectable for the active profile (respects unlocked progress). Use inside the mission-selection list box collect-items script.
004056F0,Config_FillMissionPictureBox,void Config_FillMissionPictureBox(),Fills the current picture box with the selected mission's briefing image. Use inside the mission-picture control's script right after a mission row is chosen.
00405760,Config_FillMissionTextBox,void Config_FillMissionTextBox(),Fills the current text box with the selected mission's briefing text. Use inside the mission-briefing text control's script.
00404450,Config_FillScreenResolutionListBox,void Config_FillScreenResolutionListBox(int deviceIndex),Fills the currently-active menu list box with the screen resolutions available for a device. Param: deviceIndex = render-device index. Use only inside a menu list box 'collect items' script so the ite
004046A0,Config_FillRenderDeviceListBox,void Config_FillRenderDeviceListBox(),Fills the currently-active menu list box with installed render devices (Direct3D device GUIDs/names). Use inside a list box collect-items script on the video-options screen.
004041D0,Config_GameOptionsInputGetInvertMouse,int Config_GameOptionsInputGetInvertMouse(),RETURNS the invert-mouse setting when the engine writes/reads a config game-options block (1 = inverted; 0 = normal). Takes no args. Pairs with Config_GameOptionsInputSetInvertMouse.
00404290,Config_GameOptionsInputGetMouseSensitivity,int Config_GameOptionsInputGetMouseSensitivity(),RETURNS the stored mouse-sensitivity integer from the game-options config context. Takes no args.
00404340,Config_GameOptionsInputGetBloodEnabled,int Config_GameOptionsInputGetBloodEnabled(),RETURNS the blood-enabled flag from the game-options config context (1/0). Takes no args.
00404160,Config_GameOptionsInputSetInvertMouse,void Config_GameOptionsInputSetInvertMouse(int invert),Sets invert-mouse in the GAME-OPTIONS block while a config file is parsed (the GO_* writer side; runtime getter/setter pair lives on the profile). Param: invert = 1 inverted; 0 normal. Use only inside
00404230,Config_GameOptionsInputSetMouseSensitivity,void Config_GameOptionsInputSetMouseSensitivity(int value),Sets mouse-sensitivity in the config game-options write-out context. Param: value = sensitivity as stored by the options screen (integer scale).
004042E0,Config_GameOptionsInputSetBloodEnabled,void Config_GameOptionsInputSetBloodEnabled(int blood),Sets blood-enabled in the config game-options write-out context. Param: blood = 1 on; 0 off.
00404510,Config_GraphicOptionsSetResolution,void Config_GraphicOptionsSetResolution(int modeIndex),Applies a screen resolution to the active profile and re-initialises the display. Param: modeIndex = index from Config_FillScreenResolutionListBox entries. Use in the video-options screen script.
00404960,Config_GraphicOptionsSetTransparency,void Config_GraphicOptionsSetTransparency(int onOff),Toggles transparency for the active profile. Param: onOff = 1 enable; 0 disable. Video-options screen.
004047F0,Config_GraphicOptionsSetDevice,void Config_GraphicOptionsSetDevice(int deviceIndex),Applies a render device to the active profile. Param: deviceIndex = index from Config_FillRenderDeviceListBox. Use in video-options screen script.
00404F00,Config_GraphicOptionsSetPerformanceFlags,void Config_GraphicOptionsSetPerformanceFlags(int flags),Sets the raw graphics performance/detail flag bits on the active profile. Param: flags = bitmask (get a valid one from Config_GraphicOptionsGetPerfFlagsFromLevel).
004045B0,Config_GraphicOptionsGetResolution,int Config_GraphicOptionsGetResolution(),Returns the active profile's display-mode/resolution index (same index space as Config_GraphicOptionsSetResolution). Use in video-options UI scripts to preselect the current value.
004049C0,Config_GraphicOptionsGetTransparency,int Config_GraphicOptionsGetTransparency(),Returns 1 if transparency is enabled for the active profile; else 0.
00404710,Config_GraphicOptionsGetDevice,int Config_GraphicOptionsGetDevice(),Returns the active profile's render-device index (index into the device list). Use in video-options UI scripts.
00404910,Config_GraphicOptionsGetGamma,float Config_GraphicOptionsGetGamma(),Returns the active profile's gamma as a float. Use to initialise your own gamma slider/UI.
00404F60,Config_GraphicOptionsGetPerformanceFlags,int Config_GraphicOptionsGetPerformanceFlags(),Returns the active profile's graphics performance flag bitmask.
004055C0,Config_GraphicOptionsGetPerfFlagsFromLevel,int Config_GraphicOptionsGetPerfFlagsFromLevel(int level),Converts a detail LEVEL number into its performance-flag bitmask. Param: level = 0..Config_GraphicOptionsNumPerfLevels()-1. Use when the user picks a named detail preset.
00405530,Config_GraphicOptionsGetPerfLevelFromFlags,int Config_GraphicOptionsGetPerfLevelFromFlags(int flags),Converts a performance-flag bitmask back into its detail LEVEL number. Param: flags = bitmask from the profile/performance setting. Use to show the current detail level in UI.
00405620,Config_GraphicOptionsNumPerfLevels,int Config_GraphicOptionsNumPerfLevels(),RETURNS the number of graphics detail levels the engine supports (constant). Use to build the detail-level slider/list.
00404A10,Config_SoundOptionsSetSoundsEffects,void Config_SoundOptionsSetSoundsEffects(int onOff),Enables/disables sound effects for the active profile. Param: onOff = 1 on; 0 off.
00404AE0,Config_SoundOptionsSetSoundsEffectsVolume,void Config_SoundOptionsSetSoundsEffectsVolume(float volume),Sets SFX volume for the active profile. Param: volume = float 0.0-1.0.
00404B90,Config_SoundOptionsSetMusic,void Config_SoundOptionsSetMusic(int onOff),Enables/disables music for the active profile. Param: onOff = 1 on; 0 off.
00404C40,Config_SoundOptionsSetMusicVolume,void Config_SoundOptionsSetMusicVolume(float volume),Sets music volume for the active profile. Param: volume = float 0.0-1.0 (pops a float arg - pass a float!).
00404CF0,Config_SoundOptionsSetSpeech,void Config_SoundOptionsSetSpeech(int onOff),Enables/disables radio speech for the active profile. Param: onOff = 1 on; 0 off.
00404DA0,Config_SoundOptionsSetSpeechVolume,void Config_SoundOptionsSetSpeechVolume(float volume),Sets speech volume for the active profile. Param: volume = float 0.0-1.0.
00404E50,Config_SoundOptionsSetReverseStereo,void Config_SoundOptionsSetReverseStereo(int onOff),Toggles reversed stereo channels for the active profile. Param: onOff = 1 reverse; 0 normal.
00404A90,Config_SoundOptionsGetSoundsEffects,int Config_SoundOptionsGetSoundsEffects(),Returns 1 if sound effects are enabled for the active profile; else 0.
00404B40,Config_SoundOptionsGetSoundsEffectsVolume,float Config_SoundOptionsGetSoundsEffectsVolume(),Returns the active profile's SFX volume (0.0-1.0).
00404BF0,Config_SoundOptionsGetMusic,int Config_SoundOptionsGetMusic(),Returns 1 if music is enabled for the active profile; else 0.
00404CA0,Config_SoundOptionsGetMusicVolume,float Config_SoundOptionsGetMusicVolume(),Returns the active profile's music volume (0.0-1.0).
00404D50,Config_SoundOptionsGetSpeech,int Config_SoundOptionsGetSpeech(),Returns 1 if speech is enabled for the active profile; else 0.
00404E00,Config_SoundOptionsGetSpeechVolume,float Config_SoundOptionsGetSpeechVolume(),Returns the active profile's speech volume (0.0-1.0).
00404EB0,Config_SoundOptionsGetReverseStereo,int Config_SoundOptionsGetReverseStereo(),Returns 1 if stereo is reversed for the active profile; else 0.
00403C10,Config_SetContentControlPassword,int Config_SetContentControlPassword(),Menu-script setter form (argc=0): same address registered twice by igi.exe - site 0x4034C1 pushes str "Config_SetContentControlPassword" -> registrar 0x4B8890. Password comes from the script context; 
00403C70,Config_GetContentControlPassword,char* Config_GetContentControlPassword(),RETURNS the stored content-control (parental lock) password string. Takes no args. Compare against user input or pass to Config_VerifyContentControlPassword.
00403CC0,Config_VerifyContentControlPassword,int Config_VerifyContentControlPassword(char* password),Checks a password attempt against the stored content-control password. Param: password = string to test. RETURNS non-zero when correct; 0 when wrong. Use before unlocking violent-content options.
00403D90,Config_IsContentControlPasswordEnabled,int Config_IsContentControlPasswordEnabled(),RETURNS 1 if a content-control password is SET (parental lock active); else 0. Takes no args. Use to decide whether to ask for the password.
00403B30,Config_IsGermany,int Config_IsGermany(),RETURNS 1 when running the GERMAN retail build (censored variant); 0 otherwise. Takes no args. German builds gate blood/gore - check before forcing such effects.
00407E30,DefineQMaterial,void DefineQMaterial(...),Defines a Q-material (surface material) entry while a material definition block is parsed. Called BY the engine's own define-block parser - call only from material .qsc definition contexts; arg layout
00407F50,DefineGameMaterial,void DefineGameMaterial(...),Defines a GameMaterial entry during a game-material definition block (855-byte parser function). Call only from gamematerial .qsc definition contexts; arg layout follows the Define block grammar (regi
004101C0,DefineHumanPlayerWeaponCycle,void DefineHumanPlayerWeaponCycle(...),Collects the weapon-cycle list for the human player: loops the parsed entries and stores them into the cycle table at 0x56DF1C with count at 0x56DF18 (verified in igi.exe). Call within a humanplayer w
00410240,DefineHumanPlayerWeaponCategory,void DefineHumanPlayerWeaponCategory(...),Registers one weapon-category entry for the human player during a humanplayer definition block (argc unknown - parser context). Pairs with DefineHumanPlayerWeaponCycle/Cycle ordering.
004102D0,DefineHumanPlayerAmmoLimit,void DefineHumanPlayerAmmoLimit(...),Registers an ammo-limit entry (max carried ammo class) for the human player during a humanplayer definition block (argc unknown - parser context).
004151E0,MovieSubtitle_RegisterFont,void MovieSubtitle_RegisterFont(...),Registers a font used by in-game movie subtitles (16 callsites in body; argc unknown - parser context). Call from subtitle/font definition blocks before any MovieSubtitle_RegisterText that uses it.
00415260,MovieSubtitle_RegisterText,void MovieSubtitle_RegisterText(...),Registers one subtitle text entry (string + timing) shown over movies/briefings (argc unknown - parser context). Call after the font registration it should use.
00415890,Game_SetMission,void Game_SetMission(int mission),Selects the mission the game will run/load next. Param: mission = mission index 1..14. Use before Level_Start/level load flow when jumping straight into a mission.
