"hash","name","signature","note"
"004071E0","Weapon_ConfigRead","int Weapon_ConfigRead(int context, char* cfgText)","Reads weapon configuration entries from parsed config text: repeated repne-scasb string scans + block copies populate weapon structures. Params: context = weapon system context, cfgText = config text buffer. Use within weapon definition parsing flows."
"004C0560","Symbol_CheckRegister","void* Symbol_CheckRegister(int* symTable, char* symName, int extra)","Checks a symbol and registers it if new - ERRORS via ErrorShow(""Symbol \""%s\"" already registered in hash table"") if the name ALREADY exists, so it doubles as duplicate protection. Params: symTable, symName, extra = registration payload/flags. RETURNS symbol entry or triggers the error dialog."
"004B8890","Game_DefineOptions","void Game_DefineOptions(int **option_str,int option_func_addr,int opt1,int opt2)","Define game options constants , Params: opt_str (int**)'DefineAmmoType'"
"004C0200","Script_BufInit","void Script_BufInit(int* outBuf1, int buf2, int buf3, int bufSize)","Initialises the four header fields of a SCRIPT BUFFER structure (verified field-by-field stores: *out=buf2, then buf3, bufSize...). Params: outBuf1 = buffer struct to init, buf2/buf3 = buffer pointers/ids, bufSize = size field. Call before handing a buffer to the QVM assembler/parsers."
"004E68D0","Sound_Load","void Sound_Load(char *sound_dir)","Load all level sounds from path , Params: Path of sound like 'MISSION:sounds'"
"004B0C60","Mem_Alloc","void* Mem_Alloc(int numBytes,int tag)","Engine heap allocator. Params: numBytes = bytes to allocate, tag = allocation bucket shown in the 'Total allocated by user' accounting. RETURNS pointer or 0 on failure (error text: 'Mem_Alloc() failed to allocate %d bytes'). Pair with MemoryDealloc/MemDealloc free path."
"004B0BE0","Mem_DeallocAll","void Mem_DeallocAll(void)","Deallocate allocated memory. Frees EVERY tracked heap block (walks allocation list via 0x4B0D10), then warns ""%d block(s) of memory have not been deallocated."" Takes no args - NOT a single-pointer free."
"00484E60","Mission_Open","void Mission_Open(char **ptr_file)","Name from igi.exe error string inside function: ""Mission_Open(): Couldn't load script: %s"". Opens a mission definition script and builds its task tree."
"004A5350","File_Open","void* File_Open(char* path, char* mode)","Low-level CRT-style file open used across the engine. Params: path = file path, mode = fopen-style mode string (""r"",""w"",""rb""...). RETURNS FILE* handle or 0. Prefer QFile_ReadWrite/QResource APIs unless you need raw stdio."
"004B1510","QFile_ReadWrite","void* QFile_ReadWrite(char* vpath, char* mode)","VIRTUAL-filesystem open: parses the device prefix from vpath (errors ""Illegal device name in path: \"" and ""Device not present: %s""), routes to the device handler chain (0x4B1620/0x4B1020/0x4B11A0) and returns a Q-file handle. Params: vpath = virtual path WITH device prefix (e.g. ""LOCAL:..."", ""MENU:""), mode = access mode. RETURNS handle or 0. This is the correct opener for LOCAL:/MISSION: paths."
"004C48E0","Rigid_DyncubeObjRead","void Rigid_DyncubeObjRead(uint *cfg_file)","Read rigid dynCube config file , Params: config file of rigid dynCube."
"004C4930","Magic_ObjLoad","void Magic_ObjLoad(char *path)","Loads magic objects from path, Params: Path 'LOCAL:magicobj'"
"004EC0C0","Anim_TriggerLoad","void Anim_TriggerLoad(char *path)","Loads anim trigger objects from path, Params: Path 'LOCAL:animtrigger'"
"004EE030","Physics_ObjLoad","void Physics_ObjLoad(char *path)","Loads physics objects from path, Params: Path 'LOCAL:physicsobj'"
"0047CAB0","Ammo_TypeOpen","void Ammo_TypeOpen(void)","Open ammo qvm file to memory for all weapons loaded."
"00413B70","Weapon_TypeOpen","void Weapon_TypeOpen(void)","Open all weapons defined in .qsc file for Humanplayer."
"004A53B3","Game_DataSymbolLoad","int Game_DataSymbolLoad(char* symBuf, char* symPath, char* symName)","Parses game-data SYMBOL DEFINITIONS from a buffer into the symbol table: tokenizes via 0x4A7720 with per-name limit 0x42 (66 bytes) and count cap 0x7FFFFFFF, null-terminates each parsed name. Params: symBuf = symbol buffer base, symPath = source path ref, symName = initial name entry. RETURNS parse status. Feeds the table that Symbol_Register*/GameData_SymbolRemove operate on."
"004B80A0","Game_DataSymbolRemoveThunk","void* Game_DataSymbolRemoveThunk(char* symBuf)","Thin remover for the game-data symbol table: forwards its single argument down the removal chain (verified pure thunk returning eax). Param: symBuf = symbol/buffer to unregister. Prefer this over direct internal calls."
"004B7EE0","SymbolRegister_Bool8","void* SymbolRegister_Bool8(int* table, char* name)","Registers a BOOL8-TYPED script variable slot in the game-data symbol table (2-arg typed thunk family; each sibling hardcodes its type size). Params: table = symbol table, name = variable name. RETURNS the registered symbol entry. Script code can then read/write it as a bool."
"004B7E80","SymbolRegister_Int16","void* SymbolRegister_Int16(int* table, char* name)","Registers an INT16-typed script variable slot. Params: table, name. RETURNS symbol entry. Sibling of SymbolRegister_Bool8/Int32/Real32 - same thunk shape, different type tag."
"004B7FA0","SymbolRegister_Int32","void* SymbolRegister_Int32(int* table, char* name)","Registers an INT32-typed script variable slot. Params: table, name. RETURNS symbol entry. This is the common integer script-variable registration used by AI/game scripts."
"004B7FC0","SymbolRegister_Real32","void* SymbolRegister_Real32(int* table, char* name)","Registers a REAL32 (float)-typed script variable slot. Params: table, name. RETURNS symbol entry. Pairs with AIFunction_Set/GetScriptRealValue for float storage."
"0048A440","LoadingScreen_Show","void LoadingScreen_Show(int picVariant)","Shows the LOADING SCREEN: allocates a 0x1C-byte screen object, queries the active display mode (0x491CF0), and loads ""LOCAL:menusystem/loadingscreen.res"" with picture ""LOCAL:menusystem/loading.pic"" - or ""loading_us.pic"" for USA country builds. Param: picVariant = loading-screen type selector. Call before long loads so the player sees feedback."
"004BAAC0","Q_TaskHashTableSet","void Q_TaskHashTableSet(int** table, void* handler, int nameVal, int p4, int p5, int p6, int p7)","THE CORE REGISTRAR: inserts an entry into the task/hash table binding a name-value pair to a handler callback. All 7 stack args confirmed by disassembly header (arg_18h..arg_3Ch). Every SymbolRegister* thunk (e.g. 0x4B7EE0 pushes 1,1,0,1,addr,handler,table -> this) and every GAME_DEFINE_OPTIONS registration routes here. Params: table = target hash table, handler = callback invoked for the symbol, nameVal = name/value ref, p4-p7 = type/flag slots (see SymbolRegister thunks for known values)."
"00413BB0","Weapons_CountGet","int Weapons_CountGet()","RETURNS the number of weapons defined for the human player: reads global counter 0x57B18C (exactly `mov eax,[0x57B18C]; ret`). That counter is written by the DefineHumanPlayerWeaponCycle definition parser - so this reflects the current weapon-cycle list length. Use to bounds-check weapon indexes before Weapon_GunPickup-style calls."
"0045FFC0","Weapon_GunPickup","void Weapon_GunPickup(void* player, void* pickupEntity)","Gives a GUN pickup to the player: checks the player's already-carried flag (player+0xCF5), reads the weapon id from pickupEntity+8 -> word +0x1C, validates the weapon category via 0x401CF0, hands the weapon over (0x477BF0/0x477C50) and plays the 'weaponpickup_1' sound (0x47CE00/0x4E7200). Params: player = player/Human struct ptr, pickupEntity = the picked-up world entity. Use for custom weapon pickups."
"0045FF80","Weapon_AmmoPickup","void Weapon_AmmoPickup(void* player, void* pickupEntity)","Gives an AMMO pickup to the player (same struct conventions as Weapon_GunPickup: player carry-flags and pickup-entity fields drive the grant; plays the pickup sound). Params: player = player struct ptr, pickupEntity = ammo world entity. Use for custom ammo pickups."
"00416D80","Human_HitDamage","uint Human_HitDamage(void)","Reads the player XP/hit byte: returns byte [PlayerPtr+0xE1]. Takes no args. Documented alias of HUMAN_HIT_DAMAGE - same address."
"00463760","Human_ViewCam","void Human_ViewCam(void* human, int camValue)","Sets the human's VIEW-CAMERA selector: stores camValue into human struct offset +0x4F0 (verified: mov [ecx+0x4F0],eax; ret - 5-byte setter). Params: human = Human/soldier struct ptr, camValue = camera mode index. Use to switch a soldier's view/camera state directly."
"004659E0","Human_TaskViewReset","void Human_TaskViewReset(void* human)","Resets the human's VIEW TANGENT fields to retail defaults: computes tan() of the half-FOV globals 0x5335E8/0x5339C0 (the same globals ENHANCER::FOV_SET writes) and stores them into human+0x1E4 and human+0x1E8, clearing human+0x1EC. Param: human = Human/soldier struct ptr. This is THE retail restore path - call after custom FOV/binocular zoom to return to normal view."
"00406220","Config_GetActivePlayerProfileRecord","void* Config_GetActivePlayerProfileRecord()","RETURNS pointer to the ACTIVE PROFILE's graphic-options/config record: computed as 0xBC2388 + 0xD14*[0xBC2384] (verified against retail defaults-reset fcn.00403B70 which walks the same layout). Takes no args. Despite the historical name this returns a record pointer, not a bool. Old analyst name IsPlayerProfileActive was wrong - it returns the record pointer, not a bool."
"0045C440","Soldier_Execute","void Soldier_Execute(void* context, void* soldierPtr)","Executes/initializes a SOLDIER AI entity in the level. Params: context = task/context object (2nd arg is the soldier ptr - verified: esi=[esp+0x1C] after prologue). The function reads soldier-struct fields +0x800 (ptr), +0x4C4 and +0x254 (sub-object bases passed to spawner 0x4F2060), +0xD1C, then installs a per-soldier callback (0x45C700) into the created object at +0x14 and routes through 0x48A330. Referenced via soldier-task VTABLE at .data 0x53EC90 (not called directly). SOLDIER STRUCT LAYOUT (recovered from the 0x45C190-0x45CA50 vtable family): +0x68 name/string area; +0x254 patrol/waypoint sub-struct (field +0x94 used); +0x2EC param ptr slot; +0x33D flag byte; +0x4C4 object ref; +0x696 active/enable flag (0=off, 1=on); +0x800 ptr; +0xD0C id (0xFFFFFFFF = unset); +0xD14 dword; +0xD1C ptr. Sibling vtable methods: 0x45C190, 0x45C1C0, 0x45C2E0, 0x45C330, 0x45C5A0, 0x45C650, 0x45C750, 0x45C8B0, 0x45CA50 (same struct, enable/disable/reset semantics)."
"00402780","Flow_RequestEvent","void Flow_RequestEvent(int eventId)","Requests a flow-task event by id (drives the level's flow state machine). Param: eventId = flow event number used in the level flow script. Use from mission flow scripts to trigger scripted transitions. FLOW_EVENT enum: None=0, QUIT=1, INTRO=2, MAINMENU=3, GAME=4, RESTART_GAME=5 (events 6-8 exist internally but have no registered constants)."
"004036B0","GO_Player","int GO_Player(char* name)","Adds a player profile named 'name' to the config while a .cfg/GO script block is being read; subsequent GO_* settings apply to this profile. Param: name = profile display name (string). Use inside config/profile scripts, must come before that profile's GO_* settings. Returns 1."
"004037C0","GO_InRemap","int GO_InRemap(int key1, int key2, int action)","Adds one input binding (key remap) to the current profile. Params: key1 = primary key code, key2 = secondary key code, action = in-game action id being bound. Use in input/config scripts, repeat once per binding. Returns 1."
"00403870","GO_InMouInv","int GO_InMouInv(int invert)","Toggles inverted mouse-look for the current profile. Param: invert = 1 invert Y axis, 0 normal. Use in config scripts. Returns 1."
"004038E0","GO_InMouSens","float GO_InMouSens(float sensitivity)","Sets mouse sensitivity for the current profile. Param: sensitivity = float multiplier as saved by the options screen. Use in config scripts. Returns 1."
"00403950","GO_GfxDisp","int GO_GfxDisp(int displayMode)","Sets display-mode selection for the current profile. Param: displayMode = mode index from the retail display list (see Display_GetActiveMode/display table). Use in config scripts. igi.exe registers it with argc=3 at its site; the extra args go unused by the setter itself."
"00404010","GO_GfxDevice","int GO_GfxDevice(int deviceIndex)","Sets render-device (D3D device/GUID) selection for the current profile. Param: deviceIndex = index into the render-device list filled by Config_FillRenderDeviceListBox. Use in config scripts. Returns 1."
"00404080","GO_GfxGamma","int GO_GfxGamma(float gamma)","Sets gamma for the current profile. Param: gamma = float, retail default 1.0 (range ~0.5-3.0 clamped elsewhere). Use in config scripts. Returns 1."
"00403A00","GO_GameLang","int GO_GameLang(int language)","Sets game language for the current profile. Param: language = language index (retail ships English=0 and German builds use their own index). Use in config scripts. Returns 1."
"00403AC0","GO_GameDiff","int GO_GameDiff(int difficulty)","Sets game difficulty for the current profile. Param: difficulty = 0 easy, 1 medium, 2 hard (retail order). Use in config scripts. Returns 1."
"00403DF0","GO_IsBlood","int GO_IsBlood(int blood)","Toggles blood effects for the current profile. Param: blood = 1 on, 0 off. Use in config scripts. Returns 1."
"00403E60","GO_SoundSpeech","int GO_SoundSpeech(float volume)","Sets speech volume for the current profile. Param: volume = float 0.0-1.0. Use in config scripts. Returns 1."
"00403EF0","GO_SoundMusic","int GO_SoundMusic(float volume)","Sets music volume for the current profile. Param: volume = float 0.0-1.0. Use in config scripts. Returns 1."
"00403F80","GO_SoundFX","int GO_SoundFX(float volume)","Sets sound-effects volume for the current profile. Param: volume = float 0.0-1.0. Use in config scripts. Returns 1."
"004040F0","GO_GfxPerformance","int GO_GfxPerformance(int flags)","Sets graphics performance/detail flags for the current profile. Param: flags = bitmask from the detail-level mapping (see Config_GraphicOptionsGetPerfFlagsFromLevel). Use in config scripts. Returns 1."
"00403750","GO_ActiveMission","int GO_ActiveMission(int mission)","Sets the active (last-played) mission number for the current player profile. Param: mission = mission index 1..14. Use in profile/config scripts after GO_Player. Returns 1."
"00403C10","GO_ContentControlPW","int GO_ContentControlPW(char* password)","Config-writer form (argc=1): sets the content-control password while a config file is parsed. Param: password = string. Returns 1."
"00404FA0","Config_FillPlayerProfileListBox","void Config_FillPlayerProfileListBox()","Fills the current menu list box with all player profiles (name per row, row index = profile index). Use inside the profile-selection list box collect-items script."
"00405010","Config_GetActivePlayerProfileIndex","int Config_GetActivePlayerProfileIndex()","RETURNS the index of the currently-active player profile (0-based). Takes no arguments. Use whenever you need which profile is selected, e.g. before Config_DeletePlayerProfile."
"00405050","Config_SetActivePlayerProfileIndex","void Config_SetActivePlayerProfileIndex(int index)","Makes 'index' the active player profile. Param: index = 0-based profile index (must exist; see Config_GetNumberOfPlayerProfiles)."
"004050A0","Config_CreateNewPlayerProfile","int Config_CreateNewPlayerProfile(char* name, int sourceIndex)","Creates a new player profile. Params: name = new profile name (string), sourceIndex = existing profile index to copy initial settings from. RETURNS 1 on success, 0 on failure (e.g. name taken/slots full). Use on the create-profile screen."
"00405400","Config_DeletePlayerProfile","int Config_DeletePlayerProfile(int index)","Deletes a player profile. Param: index = 0-based profile index to delete. RETURNS 1 on success, 0 on failure. Do not delete the last remaining profile; refresh your list box afterwards."
"004057D0","Config_PlayerGetActiveMission","int Config_PlayerGetActiveMission(int profileIndex)","Returns the active (reached) mission number of ANY profile. Param: profileIndex = 0-based profile index. Use on the profile/mission screens to show progress without switching profiles."
"004054F0","Config_GetNumberOfPlayerProfiles","int Config_GetNumberOfPlayerProfiles()","RETURNS how many player profiles exist. Use to bounds-check indexes and to size profile lists."
"00405660","Config_FillMissionSelectionBox","void Config_FillMissionSelectionBox()","Fills the current menu list box with missions selectable for the active profile (respects unlocked progress). Use inside the mission-selection list box collect-items script."
"004056F0","Config_FillMissionPictureBox","void Config_FillMissionPictureBox()","Fills the current picture box with the selected mission's briefing image. Use inside the mission-picture control's script right after a mission row is chosen."
"00405760","Config_FillMissionTextBox","void Config_FillMissionTextBox()","Fills the current text box with the selected mission's briefing text. Use inside the mission-briefing text control's script."
"00404450","Config_FillScreenResolutionListBox","void Config_FillScreenResolutionListBox(int deviceIndex)","Fills the currently-active menu list box with the screen resolutions available for a device. Param: deviceIndex = render-device index. Use only inside a menu list box 'collect items' script so the items land in that control."
"004046A0","Config_FillRenderDeviceListBox","void Config_FillRenderDeviceListBox()","Fills the currently-active menu list box with installed render devices (Direct3D device GUIDs/names). Use inside a list box collect-items script on the video-options screen."
"004041D0","Config_GameOptionsInputGetInvertMouse","int Config_GameOptionsInputGetInvertMouse()","RETURNS the invert-mouse setting when the engine writes/reads a config game-options block (1 = inverted, 0 = normal). Takes no args. Pairs with Config_GameOptionsInputSetInvertMouse."
"00404290","Config_GameOptionsInputGetMouseSensitivity","int Config_GameOptionsInputGetMouseSensitivity()","RETURNS the stored mouse-sensitivity integer from the game-options config context. Takes no args."
"00404340","Config_GameOptionsInputGetBloodEnabled","int Config_GameOptionsInputGetBloodEnabled()","RETURNS the blood-enabled flag from the game-options config context (1/0). Takes no args."
"00404160","Config_GameOptionsInputSetInvertMouse","void Config_GameOptionsInputSetInvertMouse(int invert)","Sets invert-mouse in the GAME-OPTIONS block while a config file is parsed (the GO_* writer side; runtime getter/setter pair lives on the profile). Param: invert = 1 inverted, 0 normal. Use only inside config .qsc write-out contexts."
"00404230","Config_GameOptionsInputSetMouseSensitivity","void Config_GameOptionsInputSetMouseSensitivity(int value)","Sets mouse-sensitivity in the config game-options write-out context. Param: value = sensitivity as stored by the options screen (integer scale)."
"004042E0","Config_GameOptionsInputSetBloodEnabled","void Config_GameOptionsInputSetBloodEnabled(int blood)","Sets blood-enabled in the config game-options write-out context. Param: blood = 1 on, 0 off."
"00404510","Config_GraphicOptionsSetResolution","void Config_GraphicOptionsSetResolution(int modeIndex)","Applies a screen resolution to the active profile and re-initialises the display. Param: modeIndex = index from Config_FillScreenResolutionListBox entries. Use in the video-options screen script."
"00404960","Config_GraphicOptionsSetTransparency","void Config_GraphicOptionsSetTransparency(int onOff)","Toggles transparency for the active profile. Param: onOff = 1 enable, 0 disable. Video-options screen."
"004047F0","Config_GraphicOptionsSetDevice","void Config_GraphicOptionsSetDevice(int deviceIndex)","Applies a render device to the active profile. Param: deviceIndex = index from Config_FillRenderDeviceListBox. Use in video-options screen script."
